expiry,as_of,forward,tau,strike,is_call,bid,ask,mid,iv,iv_bid,iv_ask,delta,volume,open_interest
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2530,False,0.40000000000000002,0.65000000000000002,0.52500000000000002,0.35871517963105559,0.34690810102516711,0.36870983128499335,-0.0089216379126258825,6,6
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2565,False,0.55000000000000004,0.80000000000000004,0.67500000000000004,0.33824316105301411,0.32921599781477351,0.34620430578185596,-0.011809540557755883,1,1
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2570,False,0.55000000000000004,0.80000000000000004,0.67500000000000004,0.33363928452728331,0.32471042765799546,0.34151485046203922,-0.011958503220250202,,0
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2585,False,0.65000000000000002,0.90000000000000002,0.77500000000000002,0.32600250047789553,0.31820663347436901,0.33300368202783126,-0.013825313825416798,10,15
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2635,False,1.05,1.3500000000000001,1.2000000000000002,0.29854284470459713,0.29237369482851738,0.30424559141612989,-0.022098464517559813,,1
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2640,False,1.1000000000000001,1.3999999999999999,1.25,0.29556629581554617,0.28963916609203366,0.30106524145296382,-0.023118278153797481,,5
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2665,False,1.45,1.75,1.6000000000000001,0.28244675758615684,0.27771748474084818,0.28691719585780778,-0.029922589006806093,,1
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2685,False,1.75,2.1000000000000001,1.925,0.27097297003111653,0.26629655828107024,0.27540914546002609,-0.036491451258552805,,1
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2690,False,1.8500000000000001,2.2000000000000002,2.0250000000000004,0.2682676047898862,0.2637965036236577,0.27252222370751977,-0.038475426319759337,2,8
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2700,False,2.1000000000000001,2.4500000000000002,2.2750000000000004,0.26356514072655729,0.25951151172858122,0.26744759189261275,-0.043232104603556282,13,6
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2710,False,2.3500000000000001,2.7000000000000002,2.5250000000000004,0.25815661638118337,0.25445092225314864,0.2617242502239624,-0.048173818747744894,26,28
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2715,False,2.5,2.8500000000000001,2.6749999999999998,0.25571100274711239,0.25217772941794914,0.25912151879730999,-0.051049894406173725,28,29
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2720,False,2.6499999999999999,3,2.8250000000000002,0.25307678533191413,0.2497009029684624,0.25634296582757932,-0.053983276162597432,26,29
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2725,False,2.7999999999999998,3.2000000000000002,3,0.25071882951138674,0.24703408386790934,0.25427672873855339,-0.057299034754308711,14,13
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2735,False,3.1000000000000001,3.6000000000000001,3.3500000000000001,0.24539922831882244,0.24117504470874146,0.24946566639691789,-0.064133930867763062,68,68
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2745,False,3.5,4,3.75,0.24011151069823586,0.23625510771872962,0.24384324460562795,-0.071908516027155533,2,8
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2755,False,4,4.5,4.25,0.23543752321415676,0.23193294156308794,0.23884584880382775,-0.081263434911506061,40,12
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2760,False,4.2999999999999998,4.7999999999999998,4.5499999999999998,0.23340883189291159,0.23007428537716101,0.23665968962739331,-0.08668122923566246,26,6
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2765,False,4.5999999999999996,5,4.7999999999999998,0.23047678979850053,0.22792560974617379,0.23298028008354285,-0.091618665855695391,27,13
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2770,False,4.9000000000000004,5.4000000000000004,5.1500000000000004,0.22854969750595569,0.22550730995694868,0.23152762266270047,-0.097835602629480545,1,1
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2775,False,5.2000000000000002,5.7000000000000002,5.4500000000000002,0.22575149845408682,0.22283612863559762,0.22860986313361945,-0.10360395352828339,2,14
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2780,False,5.5999999999999996,6,5.7999999999999998,0.22327798403737115,0.22105160880364144,0.22547244726093052,-0.11007708380477138,7,11
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2785,False,5.9000000000000004,6.4000000000000004,6.1500000000000004,0.22054197038537446,0.21786970011763099,0.22317038769397143,-0.11670221360679872,3,30
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2790,False,6.2999999999999998,6.7999999999999998,6.5499999999999998,0.21806496971453301,0.2155069528008319,0.22058477237213789,-0.12403504864556025,3,9
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2800,False,7.2000000000000002,7.7000000000000002,7.4500000000000002,0.21322409532085174,0.21087754154384572,0.21554191294418065,-0.14028031034292482,12,30
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2805,False,7.7000000000000002,8.3000000000000007,8,0.2112581703010909,0.20856156165187106,0.21391941870764331,-0.14969563945679232,7,7
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2810,False,8.3000000000000007,8.8000000000000007,8.5500000000000007,0.20894666531627343,0.20679374330830111,0.21107849238467322,-0.15930299024246142,4,12
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2815,False,8.8000000000000007,9.4000000000000004,9.1000000000000014,0.20630760027446116,0.20382158443463244,0.20876739981341899,-0.16913977497087729,12,18
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2820,False,9.5,10,9.75,0.20414814335814388,0.20216060313794848,0.20612020689528265,-0.18014625165107001,2,25
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2825,False,10.1,10.699999999999999,10.399999999999999,0.20162917746402725,0.19933157817684982,0.20390775295192104,-0.19140704394578811,204,218
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2830,False,10.9,11.4,11.15,0.19950067869017299,0.1976594122396978,0.201330822021074,-0.20380288620780851,10,36
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2835,False,11.6,12.199999999999999,11.899999999999999,0.19698845498474415,0.19485561170683655,0.1991077745586895,-0.21648958900840826,3,13
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2840,False,12.5,13,12.75,0.19479124303088649,0.19307682741809251,0.19649783625189043,-0.23028296791727948,27,48
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2845,False,13.300000000000001,13.9,13.600000000000001,0.19219063300571559,0.19019939647724671,0.19417248297575213,-0.24441927558465709,27,87
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2850,False,14.300000000000001,14.9,14.600000000000001,0.19016054729255946,0.18823381814377382,0.19207961970029652,-0.2599801091229047,18,141
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2855,False,15.300000000000001,15.9,15.600000000000001,0.1876899701253823,0.18582071645780332,0.18955299660441949,-0.27591273431461427,29,39
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2860,False,16.399999999999999,17,16.699999999999999,0.18539436623089606,0.18357823431225459,0.18720552478710928,-0.29288495882796739,19,63
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2865,False,17.600000000000001,18.199999999999999,17.899999999999999,0.18323216347723459,0.18146446751963091,0.18499597051357397,-0.31085136858270185,24,31
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2870,False,18.899999999999999,19.5,19.199999999999999,0.18116602290819322,0.17944186632322423,0.18288721619741868,-0.32976642456643768,20,167
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2880,False,21.699999999999999,22.300000000000001,22,0.17664020006509079,0.17498745063767907,0.17829139547639603,-0.36991057641955427,36,191
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2885,False,23.199999999999999,24,23.600000000000001,0.17468229016409625,0.17251630401659465,0.17684645326846557,-0.39147466161126987,2,29
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2890,False,24.899999999999999,25.699999999999999,25.299999999999997,0.17270122960527032,0.17056623700323609,0.17483513574943219,-0.41382532193326449,43,29
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2895,False,26.699999999999999,27.5,27.100000000000001,0.1706726731435847,0.16856151342480577,0.17278329180769494,-0.43692927086937372,1,34
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2900,False,28.600000000000001,29.399999999999999,29,0.16857306269306305,0.16647837848895561,0.17066756575502945,-0.46075762872013748,19,25
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2905,False,30.600000000000001,31.399999999999999,31,0.16637896275450575,0.16429308861124364,0.16846482786860723,-0.48528660893667275,1,9
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2910,True,29.600000000000001,30.5,30.050000000000001,0.16458762022788226,0.16224178752427595,0.16693340624848255,0.48956922279842346,,6
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2920,True,24.399999999999999,25.199999999999999,24.799999999999997,0.16082756465420511,0.15871709748275867,0.16293724026903542,0.43790076757747431,1,30
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2925,True,22,22.800000000000001,22.399999999999999,0.15908838601137049,0.15695051142629607,0.16122466033927157,0.41165844011290609,15,18
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2940,True,15.800000000000001,16.5,16.149999999999999,0.15463244233907394,0.1526289961644314,0.15663080699749093,0.33346493471407879,4,2
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2950,True,12.300000000000001,13,12.65,0.15162127608944811,0.14946446401631691,0.1537675595890729,0.28272903078528272,2,40
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2960,True,9.5,10.1,9.8000000000000007,0.14943069342166806,0.14739667403614115,0.15144995480556855,0.23563896471902984,22,23
2026-09-21,2026-09-11T20:07:49+00:00,2906.8499999999999,0.027382388381532216,2970,True,7.0999999999999996,7.7000000000000002,7.4000000000000004,0.14702270874542536,0.14472356528506139,0.14929412673997877,0.19181387795035748,59,29
